expenseID,gameID,date,category,description,vendor,amount,note
1,m044,6/24/2024,transport,shipping,beltman,$743.29,
2,m047,7/14/2024,parts,backdoor,arcade boneyard,$107.65,
3,m045,12/24/2024,parts,speaker and grill,,-$21.50,
4,m045,12/18/2024,parts,PCB,,-$125.00,
5,m045,12/19/2024,parts,PSU,,-$54.90,
6,m046,12/22/2024,parts,CPO,stickersmith,$35.58,
7,m045,12/24/2024,parts,pwr supply,,-$10.00,
8,m045,12/24/2024,parts,misc,,-$80.35,
9,m045,2/20/2025,parts,CPO,,-$65.00,
10,m047,11/21/2025,parts,CRT caps and flyback,arcadeshop,$78.34,
11,m047,11/20/2025,parts,misc pwr parts,amazon,$100.00,
12,m047,11/20/2025,parts,art,stickermith,$50.00,
13,m043,11/1/2024,parts,60-in-1,amazon,$30.00,
14,m043,11/1/2024,parts,poster board,hobby lobby,$10.00,
15,m043,11/1/2024,parts,power supply,amazon,$30.00,
16,m043,11/1/2024,parts,JAMMA harness,amazon,$15.00,
17,m048,2/10/2025,docs,manual,UPS store,$29.00,
18,m048,2/25/2025,cleaning,supplies,HF,$42.36,
19,m048,2/15/2025,cleaning,ultrasonic cleaner,amazon,$69.54,
20,m049,3/1/2025,parts,A-3713-61 - SPACE INVADERS (Bally) Bumper cap set,pinball wizard,$39.99,
21,m049,3/1/2025,parts,"A-3852-2 - SPACE INVADERS (Bally) Bumper cap ""50""",pinball wizard,$39.96,
22,m049,3/1/2025,parts,10-149 - Spring - barrel ball shooter outer,pinball wizard,$2.76,
23,m049,3/1/2025,parts,10-149-K - Spring - barrel compression shooter black,pinball wizard,$2.76,
24,m049,3/1/2025,parts,4322-01125-44B - Leg bolt 3/8-16 X 2-3/4 inch acorn head black,pinball wizard,$11.92,
25,m049,3/1/2025,parts,LL3-PACK-SM - Pack of 20 Leg levelers - 3 inch long with stop nuts,pinball wizard,$21.50,
26,m049,3/1/2025,parts,LKA78 - Lock and cam - 7/8 inch keyed-alike,pinball wizard,$34.93,
27,m049,3/1/2025,parts,C-905R - Flipper pushbutton red,pinball wizard,$13.96,
